Observation type,Sum,HOLC Polygon
ebird,7,CA_Fresno_C7_C_220_Aves_all_observations
other,0,CA_Fresno_C7_C_220_Aves_all_observations
iNaturalist,0,CA_Fresno_C7_C_220_Aves_all_observations
ebird,14,CA_Fresno_C9_C_222_Aves_all_observations
other,0,CA_Fresno_C9_C_222_Aves_all_observations
iNaturalist,0,CA_Fresno_C9_C_222_Aves_all_observations
ebird,6,CA_Fresno_D1_D_224_Aves_all_observations
iNaturalist,1,CA_Fresno_D1_D_224_Aves_all_observations
other,0,CA_Fresno_D1_D_224_Aves_all_observations
ebird,5,CA_Fresno_D2_D_225_Aves_all_observations
iNaturalist,1,CA_Fresno_D2_D_225_Aves_all_observations
other,0,CA_Fresno_D2_D_225_Aves_all_observations
